"stop_name","stop_lat","stop_lon"
"Massachusetts Avenue","42.341512","-71.083423"
"Riverway","42.331871","-71.111961"
"Cedar Grove","42.27968","-71.060434"
"Broadway","42.342622","-71.056967"
"Eliot","42.319024","-71.216711"
"Valley Road","42.268277","-71.081544"
"Central Avenue","42.26997","-71.073308"
"Kent Street","42.343927","-71.114569"
"Mattapan","42.267498","-71.091983"
"Brookline Hills","42.331333","-71.126998"
"Fenway","42.345362","-71.104162"
"JFK/UMass","42.320685","-71.052391"
"Heath Street","42.328316","-71.110252"
"Copley","42.350126","-71.077376"
"Brookline Village","42.332838","-71.116234"
"Babcock Street","42.351903","-71.122042"
"Reservoir","42.334916","-71.149064"
"Northeastern University","42.339897","-71.09021"
"Babcock Street","42.351776","-71.12153"
"Pleasant Street","42.351566","-71.119281"
"Packards Corner","42.351651","-71.12551"
"Hynes Convention Center","42.347888","-71.087903"
"Orient Heights","42.386867","-71.004736"
"Symphony","42.342687","-71.085056"
"Griggs Street","42.348919","-71.134305"
"Griggs Street","42.348747","-71.1345"
